,doc,id,original_text,reference_summary,title
legalsum11,Pokemon GO Terms of Service,5786730a6cca83a54c0035b4,we welcome feedback comments and suggestions for improvements to the services feedback. you can submit feedback by reaching out to us on facebook twitter or google. you grant to us a nonexclusive worldwide perpetual irrevocable fully paid royalty free sublicensable and transferable license under any and all intellectual property rights that you own or control to use copy modify create derivative works based upon and otherwise exploit the feedback for any purpose.,give us feedback and we can do whatever we want with it.,Feedback
legalsum12,Pokemon GO Terms of Service,5786730a6cca83a54c0035b3,the services and app may contain links to third party websites or resources. we provide these links only as a convenience and are not responsible for the content products or services on or available from those websites or resources or links displayed on such websites. you acknowledge sole responsibility for and assume all risk arising from your use of any third party websites or resources.,we might link to other people s websites but we re not responsible for what they do.,Links to Third Party Websites or Resources
legalsum13,Pokemon GO Terms of Service,5786730a6cca83a54c0035b2,we may terminate your access to and use of the services at our sole discretion at any time and without notice to you. you may cancel your account at any time by accessing the pokémon go help center available at https pokemongo nianticlabs com support delete en. upon any termination discontinuation or cancellation of services or your account the following provisions of these terms will survive arbitration notice content ownership rights granted by you effect of termination on trading items virtual money and virtual goods feedback disclaimer of warranties indemnity limitation of liability dispute resolution general terms and this sentence of termination.,both you and we can terminate your account and access to services at any time for any reason.,Termination
legalsum14,Pokemon GO Terms of Service,5786730a6cca83a54c0035b1,your use of the app and services are at your own risk. to the extent permitted by applicable law the services and content are provided as is without warranty of any kind. without limiting the foregoing niantic tpc and tpci explicitly disclaim any warranties of merchantability fitness for a particular purpose quiet enjoyment or non infringement and any warranties arising out of course of dealing or usage of trade. niantic tpc and tpci make no warranty that the services will meet your requirements or be available on an uninterrupted secure or error free basis and we make no warranty regarding the quality accuracy timeliness truthfulness completeness or reliability of any content. you assume all risks relating to your online or offline communications and interactions with other users of the services and with other persons with whom you communicated or interact as a result of your use of the services. you understand that niantic tpc and tpci do not screen or inquire into the background of any users of the services. niantic tpc and tpci make no representations or warranties as to the conduct of users of the services. you agree to take reasonable precautions in all communications and interactions with other users of the services and with other persons with whom you communicate or interact as a result of your use of the services particularly if you decide to meet offline or in person.,lots of yelling. oh you re responsible for your use of these services.,Disclaimer of Warranties
legalsum15,Pokemon GO Terms of Service,5786730a6cca83a54c0035b0,you will indemnify and hold harmless niantic tpc and tpci and their respective officers directors employees and agents from and against any claims disputes demands liabilities damages losses and costs and expenses including without limitation reasonable legal and accounting fees arising out of or in any way connected with a your access to or use of the services or content b your user content or c your violation of these terms.,don t hold us accountable and pay up if there s a lawsuit.,Indemnity
legalsum16,Pokemon GO Terms of Service,5786730a6cca83a54c0035af,to the extent permitted by applicable law neither niantic nor tpc or tpci or any other party involved in creating producing or delivering the services or content will be liable to you for any indirect incidental special punitive exemplary or consequential damages including lost profits loss of data or goodwill service interruption computer damage or system failure or the cost of substitute services arising out of or in connection with these terms or from the use of or inability to use the services or content or from any communications interactions or meetings with other users of the services or persons with whom you communicate or interact as a result of your use of the services whether based on warranty contract tort including negligence product liability or any other legal theory and whether or not niantic tpc or tpci have been advised of the possibility of such damages even if a limited remedy set forth herein is found to have failed of its essential purpose. some jurisdictions do not allow the exclusion or limitation of liability for consequential or incidental damages so the foregoing limitation of liability shall apply to the fullest extent permitted by law in the applicable jurisdiction in no event will the total liability of niantic tpc or tpci arising out of or in connection with these terms or from the use of or inability to use the services or content exceed one thousand dollars 1 000. the exclusions and limitations of damages set forth above are fundamental elements of the basis of the bargain between niantic and you.,as much as the law permits it s not our fault if people lose money or data. if it is our fault we can t owe you more than 1000.,Limitation of Liability
legalsum17,Pokemon GO Terms of Service,5786730a6cca83a54c0035ae,governing lawthese terms and any action related thereto will be governed by the laws of the state of california without regard to its conflict of laws provisions. agreement to arbitrateyou and niantic agree that any dispute claim or controversy arising out of or relating to these terms or the breach termination enforcement interpretation or validity thereof or the use of the services or content collectively disputes will be settled by binding arbitration except that each party retains the right a to bring an individual action in small claims court and b to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement misappropriation or violation of a party s copyrights trademarks trade secrets patents or other intellectual property rights the action described in this clause b an ip protection action. without limiting the preceding sentence you will also have the right to litigate any other dispute if you provide niantic with written notice of your desire to do so by email or regular mail at termsofservice nianticlabs com or 2 bryant st ste. 220 san francisco ca 94105 within thirty 30 days following the date you first accept these terms such notice an arbitration opt out notice. if you don t provide niantic with an arbitration opt out notice within the thirty 30 day period you will be deemed to have knowingly and intentionally waived your right to litigate any dispute except as expressly set forth in clauses a and b above. the exclusive jurisdiction and venue of any ip protection action or if you timely provide niantic with an arbitration opt out notice will be the state and federal courts located in the northern district of california and each of the parties hereto waives any objection to jurisdiction and venue in such courts. unless you timely provide niantic with an arbitration opt out notice you acknowledge and agree that you and niantic are each waiving the right to a trial by jury or to participate as a plaintiff or class member in any purported class action or representative proceeding. further unless both you and niantic otherwise agree in writing the arbitrator may not consolidate more than one person s claims and may not otherwise preside over any form of any class or representative proceeding. if this specific paragraph is held unenforceable then the entirety of this dispute resolution section will be deemed void. except as provided in the preceding sentence this dispute resolution section will survive any termination of these terms. arbitration rulesthe arbitration will be administered by the american arbitration association aaa in accordance with the commercial arbitration rules and the supplementary procedures for consumer related disputes the aaa rules then in effect except as modified by this dispute resolution section. the aaa rules are available at www adr org arb_med or by calling the aaa at 1 800 778 7879. the federal arbitration act will govern the interpretation and enforcement of this section. arbitration processa party who desires to initiate arbitration must provide the other party with a written demand for arbitration as specified in the aaa rules. the aaa provides a general demand for arbitration the arbitrator will be either a retired judge or an attorney licensed to practice law and will be selected by the parties from the aaa s roster of arbitrators. if the parties are unable to agree upon an arbitrator within seven 7 days of delivery of the demand for arbitration then the aaa will appoint the arbitrator in accordance with the aaa rules. arbitration location and procedureunless you and niantic otherwise agree the arbitration will be conducted in the county where you reside. if your claim does not exceed 10 000 then the arbitration will be conducted solely on the basis of the documents that you and niantic submit to the arbitrator unless you request a hearing or the arbitrator determines that a hearing is necessary. if your claim exceeds 10 000 your right to a hearing will be determined by the aaa rules. subject to the aaa rules the arbitrator will have the discretion to direct a reasonable exchange of information by the parties consistent with the expedited nature of the arbitration. arbitrator s decisionthe arbitrator will render an award within the time frame specified in the aaa rules. the arbitrator s decision will include the essential findings and conclusions upon which the arbitrator based the award. judgment on the arbitration award may be entered in any court having jurisdiction thereof. the arbitrator s award of damages must be consistent with the terms of the limitation of liability section above as to the types and amounts of damages for which a party may be held liable. the arbitrator may award declaratory or injunctive relief only in favor of the claimant and only to the extent necessary to provide relief warranted by the claimant s individual claim. if you prevail in arbitration you will be entitled to an award of attorneys fees and expenses to the extent provided under applicable law. niantic will not seek and hereby waives all rights it may have under applicable law to recover attorneys fees and expenses if it prevails in arbitration. feesour responsibility to pay any aaa filing administrative and arbitrator fees will be solely as set forth in the aaa rules. however if your claim for damages does not exceed 75 000 niantic will pay all such fees unless the arbitrator finds that either the substance of your claim or the relief sought in your demand for arbitration was frivolous or was brought for an improper purpose as measured by the standards set forth in federal rules of civil procedure 11 b changesnotwithstanding the provisions of the changes to terms or services section above if niantic changes this dispute resolution section after the date you first accepted these terms or accepted any subsequent changes to these terms you may reject any such change by sending us written notice including by email to termsofservice nianticlabs com within 30 days of the date such change became effective as indicated in the last updated date above or in the date of niantic s email to you notifying you of such change. by rejecting any change you are agreeing that you will arbitrate any dispute between you and niantic in accordance with the provisions of this dispute resolution section as of the date you first accepted these terms or accepted any subsequent changes to these terms.,if you have issues with these terms you agree to use an independent party to settle it with us instead of suing us. if it s really serious or you write us in advance you can sue us.,Dispute Resolution
legalsum18,Pokemon GO Terms of Service,5786730a6cca83a54c0035ad,these terms and any action related thereto will be governed by the laws of the state of california without regard to its conflict of laws provisions. these terms constitute the entire and exclusive understanding and agreement between niantic and you regarding the services and content and these terms supersede and replace any and all prior oral or written understandings or agreements between niantic and you regarding the services and content. if any provision of these terms is held invalid or unenforceable either by an arbitrator appointed pursuant to the terms of the dispute resolution section above or by a court of competent jurisdiction but only if you timely opt out of arbitration by sending us an arbitration opt out notice in accordance with the terms set forth above that provision will be enforced to the maximum extent permissible and the other provisions of these terms will remain in full force and effect. you may not assign or transfer these terms by operation of law or otherwise without niantic s prior written consent. any attempt by you to assign or transfer these terms without such consent will be null. niantic may freely assign or transfer these terms without restriction. subject to the foregoing these terms will bind and inure to the benefit of the parties their successors and permitted assigns. any notices or other communications provided by niantic under these terms including those regarding modifications to these terms will be given a via email or b by posting to the services. for notices made by email the date of receipt will be deemed the date on which such notice is transmitted. niantic s failure to enforce any right or provision of these terms will not be considered a waiver of such right or provision. the waiver of any such right or provision will be effective only if in writing and signed by a duly authorized representative of niantic. except as expressly set forth in these terms the exercise by either party of any of its remedies under these terms will be without prejudice to its other remedies under these terms or otherwise.,california governs these terms. we ll let you know if we make changes to the terms and we might forget to enforce them sometimes.,General Terms
legalsum19,Pokemon GO Terms of Service,5786730a6cca83a54c0035ac,if you have any questions about these terms or the services please contact niantic at termsofservice nianticlabs com or 2 bryant ste. 220 san francisco ca 94105.,termsofservice nianticlabs com.,Contact Information
legalsum20,TLDRLegal Terms of Service,52c86b6e9f62d5643500009a,tldr permits access to the sites subject to these terms and conditions. please read these terms carefully. by using the sites you agree to be bound by these terms and conditions this agreement is between you and fossa inc a delaware limited liability company tldr. you do not need to take any action to accept these terms but you must accept the terms if you wish to exercise the rights granted herein and your access to or use of the sites shall be deemed your assent to these terms. if you do not agree with these terms then you are not entitled to use the sites. if you are agreeing to these terms on behalf of a company or other legal entity you represent that you have the authority to bind such entity its affiliates and all users who access the sites to these terms and in which case the terms you or your shall refer to such entity its affiliates and users associated with it. if you do not have such authority or if you do not agree with these terms you may not use the sites. the sites provided by tldr including but not limited to that located at https tldrlegal com collectively together with all sub domains thereof and any information content and services as defined herein the site or sites may include but is not limited to information created by tldr offered by tldr data collected from public sources content from or contributed by third parties you or the users of the sites. unless otherwise agreed in writing with tldr your use of the site will be subject to at a minimum the terms and conditions set forth herein. these are referred to as the master terms. in addition your use of any site or content information or service as defined below may also be subject to the terms of any legal notice applicable to same in addition to the master terms. all such terms supplementing these master terms are referred to below as the additional terms. the master terms together with any additional terms form a binding legal agreement between you and tldr. the master terms and such additional terms as applicable are hereinafter collectively referred to as the terms tldr reserves the right to change these terms without notice. the most current version of the terms can be reviewed by clicking on the link or links located on our sites. please check these terms periodically to see whether they have changed. if you use the sites after we post revised terms you accept such changes.,by using tldrlegal you agree to these terms. we can revise these terms.,Your Agreement with Us
